Grand Prix,Driver,Car,Time,Name Code,Country Code,Latitude,Longitude
USA West,Clay  Regazzoni ,Ferrari,1:23.076,REG,USA,36.1699,-115.1398
Spain,Jochen  Mass ,McLaren Ford,1:20.930,MAS,ESP,41.57,2.2615
Belgium,Niki  Lauda ,Ferrari,1:25.980,LAU,BEL,50.4372,5.9714
Monaco,Clay  Regazzoni ,Ferrari,1:30.280,REG,MON,43.7347,7.4206
Sweden,Mario  Andretti ,Lotus Ford,1:28.002,AND,SWE,59.4088,17.7569
France,Niki  Lauda ,Ferrari,1:51.000,LAU,FRA,43.2509,5.7901
Great Britain,Niki  Lauda ,Ferrari,1:19.910,LAU,GBR,52.0786,-1.0169
Germany,Jody  Scheckter ,Tyrrell Ford,7:10.800,SCH,DEU,49.3276,8.5625
Austria,James  Hunt ,McLaren Ford,1:35.910,HUN,AUT,47.2197,14.7646
Netherlands,Clay  Regazzoni ,Ferrari,1:22.590,REG,NED,52.3888,4.5409
Italy,Ronnie  Peterson ,March Ford,1:41.300,PET,ITA,44.3406,11.7161
Canada,Patrick  Depailler ,Tyrrell Ford,1:13.817,DEP,CAN,45.5049,-73.5262
USA East,James  Hunt ,McLaren Ford,1:42.851,HUN,USA,40.713,-74.0072
Japan,Jacques  Laffite ,Ligier Matra,1:19.970,LAF,JPN,34.8431,136.5416
Argentina,James  Hunt ,McLaren Ford,1:51.060,HUN,ARG,-34.6466,-58.3876
Brazil,James  Hunt ,McLaren Ford,2:34.550,HUN,BRA,-23.7036,-46.6997
South Africa,John  Watson ,Brabham Alfa Romeo,1:17.630,WAT,ZAF,-26.2474,27.8477
USA West,Niki  Lauda ,Ferrari,1:22.753,LAU,USA,36.1699,-115.1398
Spain,Jacques  Laffite ,Ligier Matra,1:20.810,LAF,ESP,41.57,2.2615
Monaco,Jody  Scheckter ,Wolf Ford,1:31.070,SCH,MON,43.7347,7.4206
Belgium,Gunnar  Nilsson ,Lotus Ford,1:27.540,NIL,BEL,50.4372,5.9714
Sweden,Mario  Andretti ,Lotus Ford,1:27.607,AND,SWE,59.4088,17.7569
France,Mario  Andretti ,Lotus Ford,1:13.750,AND,FRA,43.2509,5.7901
Great Britain,James  Hunt ,McLaren Ford,1:19.600,HUN,GBR,52.0786,-1.0169
Germany,Niki  Lauda ,Ferrari,1:55.990,LAU,DEU,49.3276,8.5625
Austria,John  Watson ,Brabham Alfa Romeo,1:40.960,WAT,AUT,47.2197,14.7646
Netherlands,Niki  Lauda ,Ferrari,1:19.990,LAU,NED,52.3888,4.5409
Italy,Mario  Andretti ,Lotus Ford,1:39.100,AND,ITA,44.3406,11.7161
USA East,Ronnie  Peterson ,Tyrrell Ford,1:51.854,PET,USA,40.713,-74.0072
